Round,BPP_final,BPP_current,P
0.0,1.0,1.0,0.1556
0.0,1.0,2.0,0.1763
0.0,1.0,3.0,0.0703
0.0,1.0,4.0,0.4333
0.0,1.0,5.0,0.1175
0.0,1.0,6.0,0.0
0.0,1.0,7.0,0.0
0.0,1.0,8.0,0.0
0.0,1.0,9.0,0.047
0.0,1.0,10.0,0.0
0.0,1.0,11.0,0.0
0.0,1.0,12.0,0.0
0.0,1.0,13.0,0.0
0.0,1.0,14.0,0.0
0.0,1.0,15.0,0.0
0.0,1.0,16.0,0.0
0.0,1.0,17.0,0.0
0.0,10.0,1.0,0.1579
0.0,10.0,2.0,0.1736
0.0,10.0,3.0,0.0643
0.0,10.0,4.0,0.0767
0.0,10.0,5.0,0.4818
0.0,10.0,6.0,0.0
0.0,10.0,7.0,0.0
0.0,10.0,8.0,0.0
0.0,10.0,9.0,0.0
0.0,10.0,10.0,0.0456
0.0,10.0,11.0,0.0
0.0,10.0,12.0,0.0
0.0,10.0,13.0,0.0
0.0,10.0,14.0,0.0
0.0,10.0,15.0,0.0
0.0,10.0,16.0,0.0
0.0,10.0,17.0,0.0
0.0,11.0,1.0,0.2389
0.0,11.0,2.0,0.2785
0.0,11.0,3.0,0.1123
0.0,11.0,4.0,0.1278
0.0,11.0,5.0,0.1492
0.0,11.0,6.0,0.0473
0.0,11.0,7.0,0.0232
0.0,11.0,8.0,0.0072
0.0,11.0,9.0,0.008
0.0,11.0,10.0,0.0075
0.0,11.0,11.0,0.0
0.0,11.0,12.0,0.0
0.0,11.0,13.0,0.0
0.0,11.0,14.0,0.0
0.0,11.0,15.0,0.0
0.0,11.0,16.0,0.0
0.0,11.0,17.0,0.0
0.0,12.0,1.0,0.2341
0.0,12.0,2.0,0.2692
0.0,12.0,3.0,0.1077
0.0,12.0,4.0,0.1165
0.0,12.0,5.0,0.1442
0.0,12.0,6.0,0.0581
0.0,12.0,7.0,0.0353
0.0,12.0,8.0,0.0109
0.0,12.0,9.0,0.0113
0.0,12.0,10.0,0.0127
0.0,12.0,11.0,0.0
0.0,12.0,12.0,0.0
0.0,12.0,13.0,0.0
0.0,12.0,14.0,0.0
0.0,12.0,15.0,0.0
0.0,12.0,16.0,0.0
0.0,12.0,17.0,0.0
0.0,13.0,1.0,0.3394
0.0,13.0,2.0,0.3207
0.0,13.0,3.0,0.1096
0.0,13.0,4.0,0.1024
0.0,13.0,5.0,0.1065
0.0,13.0,6.0,0.0125
0.0,13.0,7.0,0.0065
0.0,13.0,8.0,0.0015
0.0,13.0,9.0,0.0006
0.0,13.0,10.0,0.0002
0.0,13.0,11.0,0.0
0.0,13.0,12.0,0.0
0.0,13.0,13.0,0.0
0.0,13.0,14.0,0.0
0.0,13.0,15.0,0.0
0.0,13.0,16.0,0.0
0.0,13.0,17.0,0.0
0.0,14.0,1.0,0.2611
