BPP_final,OPP_final,P
1.0,1.0,0.2552
1.0,2.0,0.0009
1.0,3.0,0.0035
1.0,4.0,0.091
1.0,5.0,0.1137
1.0,6.0,0.114
1.0,7.0,0.0573
1.0,8.0,0.0198
1.0,9.0,0.0
1.0,10.0,0.0124
1.0,11.0,0.2155
1.0,12.0,0.0413
1.0,13.0,0.0393
1.0,14.0,0.0204
1.0,15.0,0.0151
1.0,16.0,0.0006
1.0,17.0,0.0
10.0,1.0,0.016
10.0,2.0,0.0012
10.0,3.0,0.0021
10.0,4.0,0.0086
10.0,5.0,0.1947
10.0,6.0,0.109
10.0,7.0,0.0569
10.0,8.0,0.0201
10.0,9.0,0.0
10.0,10.0,0.2447
10.0,11.0,0.2353
10.0,12.0,0.0356
10.0,13.0,0.0341
10.0,14.0,0.0281
10.0,15.0,0.013
10.0,16.0,0.0003
10.0,17.0,0.0003
11.0,1.0,0.033
11.0,2.0,0.0042
11.0,3.0,0.0077
11.0,4.0,0.0181
11.0,5.0,0.0691
11.0,6.0,0.1904
11.0,7.0,0.0921
11.0,8.0,0.0317
11.0,9.0,0.0
11.0,10.0,0.0322
11.0,11.0,0.3799
11.0,12.0,0.0475
11.0,13.0,0.0289
11.0,14.0,0.0223
11.0,15.0,0.0415
11.0,16.0,0.0011
11.0,17.0,0.0003
12.0,1.0,0.0232
12.0,2.0,0.0035
12.0,3.0,0.0066
12.0,4.0,0.0127
12.0,5.0,0.0603
12.0,6.0,0.168
12.0,7.0,0.0817
12.0,8.0,0.0256
12.0,9.0,0.0
12.0,10.0,0.0328
12.0,11.0,0.2218
12.0,12.0,0.2021
12.0,13.0,0.0267
12.0,14.0,0.0205
12.0,15.0,0.0999
12.0,16.0,0.0142
12.0,17.0,0.0004
13.0,1.0,0.0211
13.0,2.0,0.019
13.0,3.0,0.0283
13.0,4.0,0.0565
13.0,5.0,0.1305
13.0,6.0,0.1952
13.0,7.0,0.0897
13.0,8.0,0.0304
13.0,9.0,0.0
13.0,10.0,0.0222
13.0,11.0,0.1492
13.0,12.0,0.0265
13.0,13.0,0.2016
13.0,14.0,0.0218
13.0,15.0,0.0071
13.0,16.0,0.0002
13.0,17.0,0.0006
14.0,1.0,0.0304
14.0,2.0,0.0092
14.0,3.0,0.0162
14.0,4.0,0.0409
14.0,5.0,0.1126
14.0,6.0,0.1601
14.0,7.0,0.0812
14.0,8.0,0.0267
14.0,9.0,0.0
14.0,10.0,0.0294
14.0,11.0,0.1882
14.0,12.0,0.03
14.0,13.0,0.0373
14.0,14.0,0.2235
14.0,15.0,0.0116
14.0,16.0,0.0007
14.0,17.0,0.002
15.0,1.0,0.0168
15.0,2.0,0.0
15.0,3.0,0.0
15.0,4.0,0.0
15.0,5.0,0.0175
15.0,6.0,0.1045
15.0,7.0,0.053
15.0,8.0,0.0172
15.0,9.0,0.0
15.0,10.0,0.0191
15.0,11.0,0.3778
15.0,12.0,0.1797
15.0,13.0,0.0105
15.0,14.0,0.0183
15.0,15.0,0.1712
15.0,16.0,0.0144
15.0,17.0,0.0
16.0,1.0,0.0103
16.0,2.0,0.0
16.0,3.0,0.0
16.0,4.0,0.0
16.0,5.0,0.0154
16.0,6.0,0.0359
16.0,7.0,0.0359
16.0,8.0,0.0
16.0,9.0,0.0
16.0,10.0,0.0205
16.0,11.0,0.1487
16.0,12.0,0.4256
16.0,13.0,0.0051
