Round,OPP_current,Board,P
0.0,1.0,1.0,1.0
0.0,1.0,2.0,0.0
0.0,1.0,3.0,0.0
0.0,1.0,4.0,0.0
0.0,1.0,5.0,0.0
0.0,1.0,6.0,0.0
0.0,1.0,7.0,0.0
0.0,1.0,8.0,0.0
0.0,1.0,9.0,0.0
0.0,1.0,10.0,0.0
0.0,1.0,11.0,0.0
0.0,1.0,12.0,0.0
0.0,1.0,13.0,0.0
0.0,1.0,14.0,0.0
0.0,1.0,15.0,0.0
0.0,1.0,16.0,0.0
0.0,1.0,17.0,0.0
0.0,10.0,1.0,1.0
0.0,10.0,2.0,0.0
0.0,10.0,3.0,0.0
0.0,10.0,4.0,0.0
0.0,10.0,5.0,0.0
0.0,10.0,6.0,0.0
0.0,10.0,7.0,0.0
0.0,10.0,8.0,0.0
0.0,10.0,9.0,0.0
0.0,10.0,10.0,0.0
0.0,10.0,11.0,0.0
0.0,10.0,12.0,0.0
0.0,10.0,13.0,0.0
0.0,10.0,14.0,0.0
0.0,10.0,15.0,0.0
0.0,10.0,16.0,0.0
0.0,10.0,17.0,0.0
0.0,11.0,1.0,5e-05
0.0,11.0,2.0,5e-05
0.0,11.0,3.0,5e-05
0.0,11.0,4.0,5e-05
0.0,11.0,5.0,5e-05
0.0,11.0,6.0,5e-05
0.0,11.0,7.0,5e-05
0.0,11.0,8.0,5e-05
0.0,11.0,9.0,5e-05
0.0,11.0,10.0,5e-05
0.0,11.0,11.0,5e-05
0.0,11.0,12.0,5e-05
0.0,11.0,13.0,5e-05
0.0,11.0,14.0,5e-05
0.0,11.0,15.0,5e-05
0.0,11.0,16.0,5e-05
0.0,11.0,17.0,5e-05
0.0,12.0,1.0,5e-05
0.0,12.0,2.0,5e-05
0.0,12.0,3.0,5e-05
0.0,12.0,4.0,5e-05
0.0,12.0,5.0,5e-05
0.0,12.0,6.0,5e-05
0.0,12.0,7.0,5e-05
0.0,12.0,8.0,5e-05
0.0,12.0,9.0,5e-05
0.0,12.0,10.0,5e-05
0.0,12.0,11.0,5e-05
0.0,12.0,12.0,5e-05
0.0,12.0,13.0,5e-05
