Round,OPP_final,OPP_current,P
0.0,1.0,1.0,0.1429
0.0,1.0,2.0,0.1729
0.0,1.0,3.0,0.071
0.0,1.0,4.0,0.4561
0.0,1.0,5.0,0.1133
0.0,1.0,6.0,0.0
0.0,1.0,7.0,0.0
0.0,1.0,8.0,0.0
0.0,1.0,9.0,0.0437
0.0,1.0,10.0,0.0
0.0,1.0,11.0,0.0
0.0,1.0,12.0,0.0
0.0,1.0,13.0,0.0
0.0,1.0,14.0,0.0
0.0,1.0,15.0,0.0
0.0,1.0,16.0,0.0
0.0,1.0,17.0,0.0
0.0,10.0,1.0,0.1499
0.0,10.0,2.0,0.1762
0.0,10.0,3.0,0.0674
0.0,10.0,4.0,0.082
0.0,10.0,5.0,0.4742
0.0,10.0,6.0,0.0
0.0,10.0,7.0,0.0
0.0,10.0,8.0,0.0
0.0,10.0,9.0,0.0
0.0,10.0,10.0,0.0504
0.0,10.0,11.0,0.0
0.0,10.0,12.0,0.0
0.0,10.0,13.0,0.0
0.0,10.0,14.0,0.0
0.0,10.0,15.0,0.0
0.0,10.0,16.0,0.0
0.0,10.0,17.0,0.0
0.0,11.0,1.0,0.2384
0.0,11.0,2.0,0.2745
0.0,11.0,3.0,0.1129
0.0,11.0,4.0,0.1292
0.0,11.0,5.0,0.1502
0.0,11.0,6.0,0.0477
0.0,11.0,7.0,0.0227
0.0,11.0,8.0,0.008
0.0,11.0,9.0,0.0082
0.0,11.0,10.0,0.0081
0.0,11.0,11.0,0.0
0.0,11.0,12.0,0.0
0.0,11.0,13.0,0.0
0.0,11.0,14.0,0.0
0.0,11.0,15.0,0.0
0.0,11.0,16.0,0.0
0.0,11.0,17.0,0.0
0.0,12.0,1.0,0.2294
0.0,12.0,2.0,0.2616
0.0,12.0,3.0,0.1205
0.0,12.0,4.0,0.1253
0.0,12.0,5.0,0.1365
0.0,12.0,6.0,0.0608
0.0,12.0,7.0,0.0336
0.0,12.0,8.0,0.0104
0.0,12.0,9.0,0.0121
0.0,12.0,10.0,0.0098
0.0,12.0,11.0,0.0
0.0,12.0,12.0,0.0
0.0,12.0,13.0,0.0
0.0,12.0,14.0,0.0
0.0,12.0,15.0,0.0
0.0,12.0,16.0,0.0
0.0,12.0,17.0,0.0
0.0,13.0,1.0,0.3367
0.0,13.0,2.0,0.3164
0.0,13.0,3.0,0.1004
0.0,13.0,4.0,0.1084
0.0,13.0,5.0,0.1181
0.0,13.0,6.0,0.0119
0.0,13.0,7.0,0.0065
0.0,13.0,8.0,0.0011
0.0,13.0,9.0,0.0002
0.0,13.0,10.0,0.0004
0.0,13.0,11.0,0.0
0.0,13.0,12.0,0.0
0.0,13.0,13.0,0.0
0.0,13.0,14.0,0.0
0.0,13.0,15.0,0.0
0.0,13.0,16.0,0.0
0.0,13.0,17.0,0.0
0.0,14.0,1.0,0.2599
0.0,14.0,2.0,0.2891
0.0,14.0,3.0,0.1224
0.0,14.0,4.0,0.1462
0.0,14.0,5.0,0.1479
0.0,14.0,6.0,0.0154
0.0,14.0,7.0,0.0074
0.0,14.0,8.0,0.0037
0.0,14.0,9.0,0.004
0.0,14.0,10.0,0.004
0.0,14.0,11.0,0.0
0.0,14.0,12.0,0.0
0.0,14.0,13.0,0.0
0.0,14.0,14.0,0.0
0.0,14.0,15.0,0.0
0.0,14.0,16.0,0.0
0.0,14.0,17.0,0.0
0.0,15.0,1.0,0.2196
0.0,15.0,2.0,0.2482
0.0,15.0,3.0,0.1123
0.0,15.0,4.0,0.1131
0.0,15.0,5.0,0.1305
0.0,15.0,6.0,0.0868
0.0,15.0,7.0,0.044
0.0,15.0,8.0,0.0174
0.0,15.0,9.0,0.0151
0.0,15.0,10.0,0.0131
0.0,15.0,11.0,0.0
0.0,15.0,12.0,0.0
0.0,15.0,13.0,0.0
0.0,15.0,14.0,0.0
0.0,15.0,15.0,0.0
0.0,15.0,16.0,0.0
0.0,15.0,17.0,0.0
0.0,16.0,1.0,0.1813
0.0,16.0,2.0,0.2253
0.0,16.0,3.0,0.0714
0.0,16.0,4.0,0.0934
0.0,16.0,5.0,0.1868
0.0,16.0,6.0,0.1319
0.0,16.0,7.0,0.0495
0.0,16.0,8.0,0.022
0.0,16.0,9.0,0.022
0.0,16.0,10.0,0.0165
0.0,16.0,11.0,0.0
0.0,16.0,12.0,0.0
0.0,16.0,13.0,0.0
0.0,16.0,14.0,0.0
0.0,16.0,15.0,0.0
0.0,16.0,16.0,0.0
0.0,16.0,17.0,0.0
0.0,17.0,1.0,0.3333
0.0,17.0,2.0,0.4815
0.0,17.0,3.0,0.1111
0.0,17.0,4.0,0.037
0.0,17.0,5.0,0.037
0.0,17.0,6.0,0.0
0.0,17.0,7.0,0.0
0.0,17.0,8.0,0.0
0.0,17.0,9.0,0.0
0.0,17.0,10.0,0.0
0.0,17.0,11.0,0.0
0.0,17.0,12.0,0.0
0.0,17.0,13.0,0.0
0.0,17.0,14.0,0.0
0.0,17.0,15.0,0.0
0.0,17.0,16.0,0.0
0.0,17.0,17.0,0.0
0.0,2.0,1.0,0.4326
0.0,2.0,2.0,0.5674
0.0,2.0,3.0,0.0
0.0,2.0,4.0,0.0
0.0,2.0,5.0,0.0
0.0,2.0,6.0,0.0
0.0,2.0,7.0,0.0
0.0,2.0,8.0,0.0
0.0,2.0,9.0,0.0
0.0,2.0,10.0,0.0
0.0,2.0,11.0,0.0
0.0,2.0,12.0,0.0
0.0,2.0,13.0,0.0
0.0,2.0,14.0,0.0
0.0,2.0,15.0,0.0
0.0,2.0,16.0,0.0
0.0,2.0,17.0,0.0
0.0,3.0,1.0,0.3214
0.0,3.0,2.0,0.3782
0.0,3.0,3.0,0.3003
0.0,3.0,4.0,0.0
0.0,3.0,5.0,0.0
0.0,3.0,6.0,0.0
0.0,3.0,7.0,0.0
0.0,3.0,8.0,0.0
0.0,3.0,9.0,0.0
0.0,3.0,10.0,0.0
0.0,3.0,11.0,0.0
0.0,3.0,12.0,0.0
0.0,3.0,13.0,0.0
0.0,3.0,14.0,0.0
0.0,3.0,15.0,0.0
0.0,3.0,16.0,0.0
0.0,3.0,17.0,0.0
0.0,4.0,1.0,0.2696
0.0,4.0,2.0,0.3165
0.0,4.0,3.0,0.1267
0.0,4.0,4.0,0.2872
0.0,4.0,5.0,0.0
0.0,4.0,6.0,0.0
0.0,4.0,7.0,0.0
0.0,4.0,8.0,0.0
0.0,4.0,9.0,0.0
